episode,reward,avg_queue,epsilon,loss
0,-493.15005,3.7605,0.012576201611761997,
1,-223.18733,3.0265,0.00998645168764533,
2,-199.16225,2.9245,0.00998645168764533,
3,-217.74994,3.2235,0.00998645168764533,
4,-213.01265,3.0605,0.00998645168764533,
5,-160.69983,2.47,0.00998645168764533,
6,-207.04987,2.9635,0.00998645168764533,
7,-207.46242,2.9695,0.00998645168764533,
8,-213.61217,3.037,0.00998645168764533,
9,-158.01239,2.8215,0.00998645168764533,
10,-153.61227,2.687,0.00998645168764533,
11,-155.825,2.7645,0.00998645168764533,
12,-171.17491,2.776,0.00998645168764533,
13,-117.20002,2.4995,0.00998645168764533,
14,-147.53749,2.592,0.00998645168764533,
15,-156.52472,2.712,0.00998645168764533,
16,-138.81242,2.717,0.00998645168764533,
17,-123.52494,2.575,0.00998645168764533,
18,-149.1626,2.6215,0.00998645168764533,
19,-139.88744,2.8045,0.00998645168764533,
20,-122.26246,2.6465,0.00998645168764533,
21,-145.9875,2.683,0.00998645168764533,
22,-135.86252,2.593,0.00998645168764533,
23,-155.37505,2.794,0.00998645168764533,
24,-139.06245,2.744,0.00998645168764533,
25,-138.46251,2.6075,0.00998645168764533,
26,-113.9375,2.5975,0.00998645168764533,
27,-124.83745,2.6795,0.00998645168764533,
28,-148.63754,2.5525,0.00998645168764533,
29,-156.82472,2.828,0.00998645168764533,
30,-111.88749,2.685,0.00998645168764533,
31,-154.01222,2.7285,0.00998645168764533,
32,-125.112495,2.551,0.00998645168764533,
33,-140.84999,2.692,0.00998645168764533,
34,-139.08745,2.729,0.00998645168764533,
35,-142.37477,2.595,0.00998645168764533,
36,-212.58748,3.153,0.00998645168764533,
37,-132.80002,2.643,0.00998645168764533,
38,-118.112564,2.6315,0.00998645168764533,
39,-116.66246,2.5805,0.00998645168764533,
40,-118.26245,2.545,0.00998645168764533,
41,-138.7624,2.625,0.00998645168764533,
42,-129.83742,2.6015,0.00998645168764533,
43,-129.47502,2.6415,0.00998645168764533,
44,-126.262535,2.6085,0.00998645168764533,
45,-155.13751,2.6945,0.00998645168764533,
46,-132.08748,2.603,0.00998645168764533,
